"","node","feature ID","degree","betweenness","closeness","data_type","community","Domain","Phylum","Class","Order","Family","Genus","Species","mean_abundance","mean_abundance_ranking"
"92",99,"816c3d478ebffd167938153c8dc4faa0",9,0.00974997233084636,0.331193838254172,"Microbial Taxa",4,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Aggregatibacter","s__Aggregatibacter_unclassified",0.0011586570755228,96
"93",100,"a74ca6070b2d2f0c147a9a4789004bd5",12,0.00937613197415036,0.360839160839161,"Microbial Taxa",3,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Stomatobaculum","s__Stomatobaculum_unclassified",0.00124772893623909,93
"94",101,"ba1ec526efddeab43475680ebe4ff658",4,0.0001991216951995,0.277121374865736,"Microbial Taxa",5,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Veillonella","s__Veillonella_unclassified",0.00122322965649902,94
"95",102,"dbfa00e64a3c894c18b5418bffdf3a44",23,0.0241045455091389,0.386806596701649,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Stomatobaculum","s__Stomatobaculum_unclassified",0.00131612690213047,89
"96",103,"dbd3cdcbe28436413b600cd599c23d81",1,0,1,"Microbial Taxa",6,"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Actinobacillus","s__Actinobacillus_unclassified",0.00110569429102376,97
"97",104,"f7c3650f627a482ac5252096b16b52ce",9,0.0116812672486872,0.316176470588235,"Microbial Taxa",4,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_parasanguinis",0.000989367358992254,100
"98",105,"fa34051cafc80132dd66ec48b726878a",18,0.0371992775727057,0.39209726443769,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Lachnospiraceae","g__Butyrivibrio_2","s__Butyrivibrio_2_unclassified",0.00098259675946009,101
"99",106,"f3978984be6d31e13744e368e73ebad8",9,0.00906576713464616,0.330345710627401,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Negativicutes","o__Selenomonadales","f__Veillonellaceae","g__Selenomonas_3","s__Selenomonas_3_unclassified",0.00108242156105158,98
"100",107,"4b1fe0e451b3f021f734f80cabc17710",11,0.0114930547451841,0.322903629536921,"Microbial Taxa",1,"d__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella_7","s__Prevotella_7_unclassified",0.00118567075310426,95
"101",108,"b02fed8b6dd33b1d0a54815d9e62d3fd",3,0.00010341519862302,0.303886925795053,"Microbial Taxa",2,"d__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__uncultured_Streptococcus_sp.",0.000961563383759478,104
