feature,importance
g__Succinivibrio,0.0
g__Sutterella,0.0
g__Synergistes,0.0
g__Tannerella,0.013397788
g__Terrimicrobium,0.0
g__Terrisporobacter,0.00484234
g__Thalassospira,0.0
g__Thiobacillus,0.0
g__Tissierella,0.003671142
g__Treponema_2,0.0
g__Trichococcus,0.0
g__Tsukamurella,0.0
g__Turicibacter,0.0
g__Tyzzerella,0.012556688
g__Tyzzerella_3,0.0
g__Tyzzerella_4,0.0
g__UBA10353_marine_group_unclassified,0.0
g__UBA1819,0.0
g__Undibacterium,0.0021095139
g__Ureaplasma,0.0
g__Vagococcus,0.0048660906
g__Veillonella,0.0
g__Veillonellaceae_unclassified,0.004231861
g__Vibrio,0.0
g__Vogesella,0.0
g__Vulcaniibacterium,0.006292335
g__W5053,0.0
g__WPS-2_unclassified,0.0
g__WS6_(Dojkabacteria)_unclassified,0.0
g__Weeksellaceae_unclassified,0.0
g__Weissella,0.0
g__Wolinella,0.0
g__Xanthobacteraceae_unclassified,0.0029405535
g__Xanthomonas,0.0
g__Zoogloea,0.0
g__env.OPS_17_unclassified,0.0
g__unclassified,0.0
